job,company,salary,experience,education,address
Python后端工程师,北京逍遥志科技有限公司,18k-30k,经验3-5年,本科及以上,北京 
python开发工程师,叽里呱啦文化传播（上海）有限公司,15k-30k,经验1-3年,本科及以上,上海 
python web 开发,杭州健培科技有限公司,8k-15k,经验不限,本科及以上,杭州 
python开发工程师,腾讯科技（深圳）有限公司,20k-40k,经验不限,学历不限,深圳 
python开发经理,学识堂科技（上海）有限公司,25k-37k,经验5-10年,本科及以上,上海 
数据分析师(python),北京慧达天下科技有限公司,12k-15k,经验1-3年,本科及以上,北京 
python golang 后端开发,北京思维造物信息科技有限公司,20k-40k,经验1-3年,本科及以上,北京 
Android研发(往python后端,武汉小果科技有限公司,8k-14k,经验不限,本科及以上,武汉 
Python开发工程师,武汉小果科技有限公司,9k-15k,经验1-3年,本科及以上,武汉 
Python工程师,深圳市客路网络科技有限公司,10k-20k,经验1-3年,本科及以上,深圳 
1111UJ-云平台运维开发（pyt,平安科技（深圳）有限公司,15k-25k,经验3-5年,本科及以上,深圳 
高级python开发工程师,北京无极慧通科技有限公司,10k-15k,经验1-3年,本科及以上,北京 
Python后端高级开发工程师,上海纳纳科技有限公司,15k-25k,经验3-5年,本科及以上,上海 
Python 后端开发（北京）,上海倾听信息技术有限公司,18k-36k,经验1-3年,本科及以上,北京 
Python爬虫工程师(Selenium,上海别样秀数据科技有限公司,10k-20k,经验不限,本科及以上,上海 
python后端,江西点内人工智能科技有限公司,10k-15k,经验1-3年,本科及以上,上海 
Python售后工程师,深圳智易科技有限公司,15k-30k,经验3-5年,本科及以上,深圳 
后端工程师（Python 人脸识别）,上海迈外迪网络科技有限公司,10k-20k,经验1-3年,本科及以上,北京 
算法工程师（Python）,北京深睿博联科技有限责任公司,15k-30k,经验3-5年,本科及以上,北京 
Python研发工程师,北京逍遥志科技有限公司,15k-25k,经验3-5年,本科及以上,北京 
Python课程开发研究员,慧科教育科技集团有限公司,18k-35k,经验5-10年,本科及以上,北京 
高级Java/Python开发工程师,厦门视我科技有限公司,15k-30k,经验5-10年,本科及以上,厦门 
高级Python后端研发工程师,上海斗象信息科技有限公司,10k-15k,经验1-3年,本科及以上,上海 
猫老祖（图形化&Python）,深圳点猫科技有限公司,8k-15k,经验不限,本科及以上,广州 
高级python开发工程师,北京国研网信息股份有限公司,22k-27k,经验3-5年,硕士及以上,北京 
高级Python工程师,深圳市客路网络科技有限公司,20k-35k,经验3-5年,本科及以上,深圳 
python工程师,杭州健培科技有限公司,8k-15k,经验不限,本科及以上,杭州 
Python教研实习生（会正则表,北京聪明核桃教育科技有限公司,4k-5k,经验1年以下,本科及以上,北京 
DSQ-Python后端开发工程师,顺丰科技有限公司,18k-35k,经验3-5年,本科及以上,深圳 
Python高级开发工程师（财务,北京思维造物信息科技有限公司,25k-50k,经验3-5年,本科及以上,北京 
DSQ-Python后端开发工程师,顺丰科技有限公司,18k-35k,经验3-5年,本科及以上,深圳 
Python高级开发工程师（财务,北京思维造物信息科技有限公司,25k-50k,经验3-5年,本科及以上,北京 
高级Python研发工程师,北京逍遥志科技有限公司,25k-50k,经验5-10年,本科及以上,北京 
Python爬虫实习生,特赞（上海）信息科技有限公司,2k-3k,经验不限,本科及以上,上海 
高级Python开发工程师,北京大生在线科技有限公司,20k-35k,经验5-10年,学历不限,深圳 
编程猫少儿编程教师（Python,深圳点猫科技有限公司,8k-12k,经验不限,本科及以上,广州 
Python开发工程师,行云智能（深圳）技术有限公司,10k-20k,经验1-3年,本科及以上,深圳 
Python开发工程师--2884,北京奇艺世纪科技有限公司,18k-30k,经验3-5年,本科及以上,北京 
python开发,智线云科技（北京）有限公司,8k-13k,经验1-3年,本科及以上,武汉 
python开发工程师（后端开发）,北京聚道科技有限公司,15k-30k,经验1-3年,本科及以上,北京 
高级Python后端开发工程师,北京聚道科技有限公司,20k-40k,经验3-5年,本科及以上,北京 
